time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-04T20:07:35.920Z,33.4545,-116.5555,8.7,0.54,ml,23,117,0.05596,0.21,ci,ci39042856,2019-09-04T20:11:06.218Z,"16km SE of Anza, CA",earthquake,0.44,0.72,0.177,14,automatic,ci,ci
2019-09-04T19:48:25.930Z,35.5978333,-117.6058333,5.4,0.69,ml,14,108,0.03846,0.21,ci,ci39042832,2019-09-04T19:52:15.025Z,"7km ESE of Ridgecrest, CA",earthquake,0.54,1.48,0.109,10,automatic,ci,ci
2019-09-04T19:26:20.860Z,35.6143333,-117.3626667,6.06,0.99,ml,17,124,0.06663,0.22,ci,ci39042792,2019-09-04T19:30:03.718Z,"17km S of Trona, CA",earthquake,0.49,1,0.201,12,automatic,ci,ci
2019-09-04T19:15:49.020Z,35.6825,-117.5251667,8.92,0.92,ml,17,111,0.07014,0.18,ci,ci39042784,2019-09-04T19:19:19.388Z,"14km SW of Searles Valley, CA",earthquake,0.42,0.98,0.173,11,automatic,ci,ci
2019-09-04T19:14:26.120Z,38.8026657,-122.8241653,1.94,0.89,md,16,77,0.007328,0.04,nc,nc73265260,2019-09-04T19:26:03.474Z,"6km WNW of The Geysers, CA",earthquake,0.25,0.42,0.25,4,automatic,nc,nc
2019-09-04T19:13:59.180Z,35.8945,-117.7145,5.76,0.86,ml,15,64,0.07449,0.12,ci,ci39042776,2019-09-04T19:17:34.376Z,"18km ESE of Little Lake, CA",earthquake,0.23,0.84,0.171,13,automatic,ci,ci
2019-09-04T19:12:39.310Z,34.022,-116.7678333,16.96,2.04,ml,93,34,0.03567,0.15,ci,ci39042768,2019-09-04T20:53:49.090Z,"12km N of Cabazon, CA",earthquake,0.1,0.26,0.13,89,reviewed,ci,ci
2019-09-04T19:11:51.770Z,35.968,-117.6883333,-0.11,1.2,ml,18,102,0.03675,0.21,ci,ci39042760,2019-09-04T19:15:37.384Z,"20km E of Little Lake, CA",earthquake,0.41,31.61,0.164,16,automatic,ci,ci
2019-09-04T19:00:31.260Z,38.8293343,-122.8118362,1.7,0.74,md,14,61,0.006088,0.02,nc,nc73265240,2019-09-04T19:42:02.576Z,"8km NW of The Geysers, CA",earthquake,0.23,0.61,0.15,2,automatic,nc,nc
2019-09-04T18:57:48.030Z,34.9923333,-118.1935,-0.81,1.3,ml,29,52,0.1169,0.22,ci,ci39042752,2019-09-04T20:06:25.784Z,"7km SSW of Mojave, CA",quarry blast,0.39,31.61,0.11,11,reviewed,ci,ci
2019-09-04T18:44:47.730Z,35.6931667,-117.5288333,3.94,0.79,ml,16,121,0.07818,0.15,ci,ci39042728,2019-09-04T18:48:32.222Z,"14km SW of Searles Valley, CA",earthquake,0.34,0.92,0.119,9,automatic,ci,ci
2019-09-04T18:36:59.980Z,35.7528333,-117.5528333,6.83,0.71,ml,18,117,0.07253,0.19,ci,ci39042712,2019-09-04T18:40:43.184Z,"14km W of Searles Valley, CA",earthquake,0.39,1.05,0.153,9,automatic,ci,ci
2019-09-04T18:36:06.050Z,35.6695,-117.4998333,8.06,1.67,ml,29,92,0.06216,0.18,ci,ci39042704,2019-09-04T18:39:53.179Z,"14km SW of Searles Valley, CA",earthquake,0.28,0.64,0.151,28,automatic,ci,ci
